houseid,hhsize,Age_U18,Age_1924,Age_2545,Age_4665,Age_U65,Age_U24,Male,pr_male,drvrcnt,numadlt,wrkcount,Pr_senior,Pr_adult,White,Black,Asian,AmIndian,Hawai,Mulrace,Other_race,Pr_white,HH_white,Work_hm,Pr_wrkhm,Home_own,Home_rent,Home_other,hhvehcnt,HH_veh,Veh_0,Veh_1,Veh_2,Veh_3,Veh_acces,Veh_avl,hhfaminc,Low_inc,Medium_inc,Hg_inc,Income_low,Urban_big,Rural_Big,wthhfin,BKSH,RDSH,NOSH,Sanjose,Newyork,Atlanta,Chicago,Low_BK,Low_RD,high_RD,Veh0_BK,Veh0_RD,Rural_BK,Rural_RD,N_BK,N_RD,C_BK,C_RD,C_RD_SEnior,INCLW_bk,INCLW_rd,VMTwt_HH,LN_VMTHH
30000130,2,0,0,1,0,0,0,0,0,2,2,2,0,1,1,0,0,0,0,0,0,.5,0,0,0,1,0,0,1,1,0,1,0,0,.5,0,05,0,1,0,1,1,0,3829.95965521322,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7922.65678466017,8.97760809348566
30000266,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,01,1,0,0,1,1,0,12705.4392704626,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23676.789720205,10.0722927451232
30000439,4,0,1,0,2,0,0,2,.5,4,4,2,0,1,3,0,0,0,0,0,0,.75,1,0,0,1,0,0,3,3,0,0,0,1,.75,0,08,0,1,0,0,0,1,173.38809785866,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13022.3156000719,9.47449653772704
30000496,2,0,0,0,1,0,0,1,.5,1,2,1,0,1,1,0,0,0,0,0,0,.5,0,1,.5,1,0,0,1,1,0,1,0,0,1,1,08,0,1,0,0,1,0,560.11820421216,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021.68223566941,8.01389987369684
30000503,2,0,0,0,2,0,0,1,.5,2,2,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,1,1,09,0,1,0,0,1,0,93.73656745875,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22544.5354993386,10.0232923430388
30000817,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,04,1,0,0,1,0,1,266.75788574189,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,75885.4867214051,11.2369939069714
30000854,2,0,0,0,2,0,0,1,.5,2,2,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3,3,0,0,0,1,1.5,1,09,0,1,0,0,1,0,32.87228532313,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25798.1265578435,10.1580959159895
30000990,4,1,0,0,1,0,0,2,.5,2,2,1,0,.5,2,0,0,0,0,0,0,.5,0,0,0,1,0,0,2,2,0,0,1,0,1,1,11,0,0,1,0,1,0,321.74830118877,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10763.712701318,9.28402872122292
30001039,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,2,1,04,1,0,0,1,1,0,50.17426122137,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3297.05391529475,8.10108785086183
30001109,2,0,0,1,0,0,0,1,.5,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,.5,0,1,0,0,0,1,0,0,0,0,0,06,0,1,0,1,1,0,1071.43289577066,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7593.10404164955,8.93512744120482
