houseid,personid,Age_U18,Age_1924,Age_2545,Age_4665,Age_U65,Age_U24,Male,White,Black,Asian,AmIndian,Hawai,Mulrace,Other_race,Work_hm,worker,Home_own,Home_rent,Home_other,hhsize,hhvehcnt,Veh_0,Veh_1,Veh_2,Veh_3,Veh_4,hhfaminc,Low_inc,Hg_inc,Medium_inc,Income_low,drvrcnt,Driver_nw,DRV_0,DRV_1,DRV_2,DRV_3,DRV_4,Veh_acces,Veh_avl,numadlt,Urban_big,Rural_Big,wtperfin,BKSH,RDSH,NOSH,Sanjose,Newyork,Atlanta,Chicago,VMT_wt,Ln_VMT
30000130,01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,05,0,0,1,1,2,2,0,0,1,0,0,.5,0,2,1,0,3705.49390444234,0,0,1,0,1,0,0,30343455.8473497,9.01064170394226
30000266,01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,01,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,16570.0030272861,0,0,1,0,0,0,1,300824013.909578,9.80674176774391
30000439,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,08,0,0,1,0,4,4,0,0,0,0,1,.75,0,4,0,1,175.58501451168,0,0,1,0,1,0,0,1211978.19644203,8.83978598116469
30000439,02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,1,0,08,0,0,1,0,4,4,0,0,0,0,1,.75,0,4,0,1,149.16187140395,0,0,1,0,1,0,0,1029592.0547938,8.83978598116471
30000439,04,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,08,0,0,1,0,4,4,0,0,0,0,1,.75,0,4,0,1,274.71687328,0,0,1,0,1,0,0,16344.2803757936,4.10256071699344
30000496,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,1,0,1,0,0,0,08,0,0,1,0,1,1,0,1,0,0,0,1,1,2,1,0,567.2151908317,0,0,1,0,1,0,0,1692499.22754293,8.00131314890297
30000503,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,09,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,97.02748091821,0,0,1,0,1,0,0,471869.866850339,8.48966987616485
30000503,02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,09,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,82.42617214015,0,0,1,0,1,0,0,1641377.5058096,9.89919359668911
30000817,01,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,04,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,485.32838990679,0,1,0,0,1,0,0,20243051.9962963,10.6385204017144
30000854,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,09,0,0,1,0,2,2,0,0,1,0,0,1.5,1,2,1,0,39.45153445613,0,0,1,0,1,0,0,422389.628973681,9.27870391214256
30000854,02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,1,0,09,0,0,1,0,2,2,0,0,1,0,0,1.5,1,2,1,0,33.5146181216,0,0,1,0,1,0,0,425653.748037966,9.4494785249375
30000990,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,1,0,0,11,0,1,0,0,2,2,0,0,1,0,0,1,1,2,1,0,366.43571078257,0,0,1,0,1,0,0,2265173.647202,8.72950064370046
30000990,03,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,1,0,0,11,0,1,0,0,2,2,0,0,1,0,0,1,1,2,1,0,323.31374853758,0,0,1,0,1,0,0,1198032.62893107,8.21783791815617
30001039,01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,04,1,0,0,1,1,1,0,1,0,0,0,2,1,1,1,0,45.21401906847,0,0,1,0,1,0,0,165427.24440694,8.20515285047477
30001109,01,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,06,0,0,1,1,1,1,0,1,0,0,0,0,0,2,1,0,1385.10098632052,0,1,0,0,0,1,0,8135501.45123248,8.67838984709517
30001262,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,06,0,0,1,1,2,2,0,0,1,0,0,1,1,2,1,0,2968.51047226737,0,0,1,0,1,0,0,71665275.1746985,10.0917427205889
30001262,02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,06,0,0,1,1,2,2,0,0,1,0,0,1,1,2,1,0,2715.45245361846,0,0,1,0,1,0,0,37464106.3624284,9.53225247964702
30001381,01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,07,0,0,1,1,2,2,0,0,1,0,0,1,1,2,1,0,36.58010727423,0,0,1,0,1,0,0,119898.617612708,8.09520228135044
30001381,02,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,07,0,0,1,1,2,2,0,0,1,0,0,1,1,2,1,0,34.17410467237,0,0,1,0,1,0,0,259537.117510174,8.93531848675151
30001396,01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,06,0,0,1,1,2,2,0,0,1,0,0,.5,0,2,1,0,4284.11002637833,0,1,0,0,1,0,0,8995967.0183404,7.65009492373039
30001396,02,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1,0,0,0,06,0,0,1,1,2,2,0,0,1,0,0,.5,0,2,1,0,4809.98277901618,0,1,0,0,1,0,0,6701292.05763922,7.24007963933191
