"","HOUSEID","TRAVDAY","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","DRVRCNT","HHSTATE","HHSTFIPS","NUMADLT","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","HBHTNRNT","HBPPOPDN","HBRESDN","HTEEMPDN","HTHTNRNT","HTPPOPDN","HTRESDN","SMPLSRCE","PERSONID","R_AGE","EDUC","R_HISP","R_RELAT","R_SEX","R_RACE","PRMACT","PAYPROF","GT1JBLWK","WRK_HOME","WKFTPT","WRKTRANS","LSTTRDAY17","OCCAT","SCHTYP","NWALKTRP","WALK4EX","NBIKETRP","BIKE4EX","BIKESHARE","PTUSED","MCUSED","CARSHARE","RIDESHARE","CARRODE","TIMETOWK","NOCONG","PUBTIME","WRKTIME","WKRMHM","FLEXTIME","WKFMHMXX","SCHTRN1","SCHTRN2","DELIVER","MEDCOND","MEDCOND6","HEALTH","PHYACT","VPACT","LPACT","BORNINUS","YRTOUS","YEARMILE","PROXY","WHOPROXY","USEPUBTR","SAMEPLC","W_NONE","W_CANE","W_WLKR","W_WHCANE","W_DOG","W_CRUTCH","W_SCOOTR","W_CHAIR","W_MTRCHR","WORKER","DIARY","OUTCNTRY","FRSTHM17","CNTTDTR","GCDWORK","WKSTFIPS","DRIVER","OUTOFTWN","DISTTOWK17","DISTTOSC17","ALT_16","ALT_23","ALT_45","WALK_DEF","WALK_GKQ","BIKE_DFR","BIKE_GKP","CONDTRAV","CONDRIDE","CONDNIGH","CONDRIVE","CONDPUB","CONDSPEC","CONDTAX","WTPERFIN","SAMPSTRAT","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","CNTTDHH","YOUNGCHILD","SCRESP","RESP_CNT","WEBUSE17","WTHHFIN","NCHILD0TO5","NCHILD6TO17","UNIQUEID","NTOUR","HBSimple","HBOnly","HBandWB","MODEALLTRANSIT","MODEMIXED","MODENOTRANSIT","WORKACTDUR","WORKTRAVELDUR","WORKACTTRAVELDUR","TRANSITACTDUR","TRANSITTRAVELDUR","TRANSITACTTRAVELDUR","NONTRANSITACTDUR","NONTRANSITTRAVELDUR","NONTRANSITACTTRAVELDUR","NONWORKACTDUR","MALE","HISPANIC","MULTIJOB","FULLTIME","FLEXIBLE","LOWINCOME","MIDINCOME","HIGHINCOME","MSA1MILWITHRAIL","MSA1MILWITHOUTRAIL","MSALESS1MIL","NOTMSA","PCHILD0TO5","PCHILD6TO17","NONWORKTRAVELDUR","NONWORKACTTRAVELDUR","OTHER"
"1",30000130,1,1,2,1,5,2,"NY",36,2,2,201605,1,2,1,5,1,1,5,1,2,1,21,1,2,"35620",80,30000,17000,5000,60,30000,17000,1,1,45,5,2,1,2,1,1,-1,2,2,1,11,-1,2,-1,5,5,0,-1,-1,20,-1,0,0,-9,60,-1,10,"09:00 AM",2,2,-1,-1,-1,0,2,-1,3,2,-1,5,2,1995,-88,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,4,9.64999999999964,36,1,2,14.5999999999999,-9,3,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3705.49390444234,1,-9,1,-9,-9,-9,-1,-9,1,1,-9,1,1,1,-9,1,1,4,0,1,2,1,3829.95965521322,0,0,"30000130_1",1,1,0,0,0,0,0,465,60,525,0,0,0,16,55,71,16,0,0,0,1,0,0,1,0,1,0,0,0,0,0,55,71,0
"2",30000341,5,1,3,2,6,3,"TX",48,3,3,201604,1,2,2,4,2,1,4,1,7,3,72,1,2,"12420",20,7000,3000,3000,20,7000,1500,2,2,28,5,2,3,1,1,1,-1,2,2,1,11,-1,4,-1,13,3,0,-1,-1,21,-1,0,0,-9,35,-1,0,"08:15 AM",2,1,-1,-1,-1,10,2,-1,2,2,-1,8,1,-1,400,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,5,1.78999999999996,48,1,2,2.57999999999993,-9,1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,407.415399981904,2,1,1,1,5,5,1,5,3,5,5,2,2,5,5,3,1,14,0,1,3,1,316.179006139523,0,0,"30000341_2",1,0,0,1,1,0,0,490,35,525,30,15,45,115,5,120,145,1,0,0,1,1,0,1,0,0,1,0,0,0,0,20,165,0
"3",30000450,6,2,1,0,5,0,"CA",6,1,1,201608,1,1,1,5,1,1,5,1,9,4,91,2,2,"41860",40,17000,7000,5000,60,17000,7000,1,1,39,3,2,1,2,2,2,1,2,2,1,11,-1,1,-1,2,1,0,-1,-1,20,-1,0,0,-9,2,-1,2,"07:00 AM",2,2,-1,-1,-1,0,2,-1,2,2,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,3,17.0699999999997,6,2,2,26.1199999999999,-9,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1098.246124231,1,1,1,1,1,-9,-1,-9,1,1,-9,5,5,5,5,5,2,3,0,1,1,1,1041.82176393642,0,0,"30000450_1",1,0,1,0,1,0,0,250,2,252,60,60,120,0,0,0,60,0,0,0,1,0,0,1,0,1,0,0,0,0,0,60,120,0
"4",30001409,3,1,2,2,11,2,"IL",17,2,2,201605,1,2,1,5,1,1,5,1,3,2,31,1,2,"16980",0,3000,1500,3000,0,7000,1500,1,1,60,5,2,1,2,1,1,-1,2,2,1,15,-1,4,-1,20,5,0,-1,-1,22,-1,0,0,-9,90,-1,10,"07:00 AM",1,1,5,-1,-1,3,2,-1,3,2,-1,2,1,-1,6000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,25.6199999999999,17,1,2,31.3599999999997,-9,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3315.86280079639,1,2,1,1,2,5,1,4,5,1,5,3,4,4,4,2,1,7,0,1,2,1,3278.22091095503,0,0,"30001409_1",1,1,0,0,1,0,0,570,90,660,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"5",30001774,3,1,1,0,5,0,"GA",13,1,1,201606,1,1,1,5,1,1,5,1,5,3,51,1,2,"12060",80,17000,17000,5000,60,17000,17000,1,1,43,5,2,1,2,1,1,-1,2,2,1,16,-1,4,-1,21,7,0,-1,-1,20,-1,0,2,-9,15,-1,30,"07:30 AM",2,2,-1,-1,-1,2,2,-1,2,2,-1,7,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,1.29999999999995,13,2,2,1.75999999999999,-9,4,4,4,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,894.656742983446,1,1,1,1,1,2,3,3,4,1,5,5,3,1,1,1,2,2,0,1,1,1,805.331565883393,0,0,"30001774_1",1,1,0,0,1,0,0,660,15,675,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"7",30002934,5,2,1,0,6,1,"CA",6,1,1,201609,1,1,1,5,1,1,5,1,9,4,91,1,2,"41860",90,17000,17000,5000,90,30000,17000,2,1,58,5,2,1,2,1,1,-1,2,2,2,13,-1,4,-1,21,2,25,0,0,15,-1,0,0,-9,35,-1,-9,"08:25 AM",1,1,0,-1,-1,10,2,-1,2,3,6,-1,1,-1,250,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,8,6.34999999999991,6,1,2,7.87999999999988,-9,4,4,4,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,440.487404428501,1,1,1,4,1,1,5,4,3,1,5,3,3,4,4,4,2,8,0,1,1,1,473.114844732099,0,0,"30002934_1",2,0,0,1,1,0,0,520,35,555,0,0,0,15,5,20,15,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,20,1
"8",30003131,4,2,1,0,4,0,"CA",6,1,1,201608,1,1,1,5,1,1,5,1,9,4,91,-7,2,"41860",60,30000,17000,5000,80,30000,17000,1,1,66,2,2,1,1,-7,1,-1,2,2,1,15,-1,1,-1,7,7,0,-1,-1,30,-1,0,0,-9,90,-1,20,"09:15 AM",2,2,-1,-1,-1,0,2,-1,-8,2,-1,-8,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,5.43999999999983,6,2,2,7.73999999999978,-9,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,498.614118449787,1,5,5,5,1,5,5,5,1,1,-9,3,1,4,1,1,2,2,0,1,1,5,576.877959538567,0,0,"30003131_1",1,1,0,0,1,0,0,518,90,608,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"9",30003393,6,2,3,0,3,0,"NY",36,3,2,201606,1,2,3,1,2,1,1,1,2,1,23,1,2,"XXXXX",70,7000,3000,3000,70,7000,3000,2,1,28,3,2,1,2,1,1,-1,2,2,2,11,-1,1,-1,14,0,0,-1,-1,20,-1,0,0,-9,30,-1,15,"08:15 AM",2,2,-1,-1,-1,1,2,-1,2,3,5,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,0.719999999999999,36,2,2,1.19,-9,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1057.08046287613,3,1,1,1,1,4,5,3,2,5,5,1,1,3,3,3,1,4,0,1,3,1,1097.73104061796,0,0,"30003393_1",1,1,0,0,1,0,0,345,30,375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"10",30003624,6,2,2,1,6,2,"NY",36,2,2,201606,1,2,3,1,2,1,1,1,2,1,23,3,2,"XXXXX",70,3000,1500,750,60,1500,750,2,1,28,5,2,1,2,3,1,-1,2,2,1,11,-1,4,-1,30,0,0,-1,-1,20,-1,0,0,-9,15,-1,0,"10:00 AM",1,1,1,-1,-1,3,2,-1,2,2,-1,12,2,2005,4000,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,6,2.13999999999999,36,1,2,2.52999999999997,-9,3,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,206.992499893229,3,1,1,2,3,5,2,4,1,4,5,3,2,4,4,2,1,11,0,1,2,1,214.95250388951,0,0,"30003624_1",2,0,0,1,1,0,0,457,15,472,0,0,0,30,5,35,30,0,0,0,1,1,0,1,0,0,0,1,0,0,0,5,35,1
"11",30003624,6,2,2,1,6,2,"NY",36,2,2,201606,1,2,3,1,2,1,1,1,2,1,23,3,2,"XXXXX",70,3000,1500,750,60,1500,750,2,2,30,5,2,2,1,3,1,-1,1,2,1,11,-1,4,-1,20,3,0,-1,-1,6,-1,0,0,-9,27,-1,0,"06:55 AM",1,1,0,-1,-1,7,2,-1,1,2,-1,3,2,2004,6000,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,5,2.14999999999998,36,1,2,2.92999999999995,-9,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260.817136314163,3,1,1,2,3,5,2,4,1,4,5,3,2,4,4,2,1,11,0,1,2,1,214.95250388951,0,0,"30003624_2",1,0,0,1,1,0,0,645,27,672,0,0,0,37,23,60,37,1,0,1,1,1,0,1,0,0,0,1,0,0,0,23,60,0
