incomeCategoryMidpoint,allHouseholds,vehicleOwningHouseholds
5000.0,1296.240383284214,3613.628698171329
12500.0,2406.041703619889,3560.0515594427493
20000.0,3834.15692834309,4403.395135232931
32000.0,4864.121796394459,5133.618026164341
42500.0,6072.792281724141,6310.692012862664
62500.0,7468.965539601972,7653.1236191705
87500.0,8749.439390556614,8914.367213771637
112500.0,10072.57666020264,10192.965438797899
137500.0,10813.90039327245,10945.460297492891
175000.0,11128.874393158325,11246.219163215212
225000.0,11942.88161883958,12200.88030682762
