,HHSTATE,medianCost
0,AK,5367.224027960042
1,AL,6895.200561804056
2,AR,6249.271021103393
3,AZ,6608.92098225891
4,CA,7426.797177641415
5,CO,6820.870670048104
6,CT,6662.339382306616
7,DC,2111.5510871589786
8,DE,8026.937411685436
9,FL,7315.664724348632
10,GA,6701.083615783109
11,HI,6429.470355288383
12,IA,6714.049931967594
13,ID,6268.755715087179
14,IL,5813.771881735361
15,IN,6379.652788759436
16,KS,6767.0083042114065
17,KY,7016.744403016447
18,LA,6455.404364645072
19,MA,5787.144748325631
20,MD,6973.382083719689
21,ME,7115.1310964376235
22,MI,8042.880814414486
23,MN,6834.332460206443
24,MO,6647.561384325579
25,MS,7221.161918892806
26,MT,7271.814454972342
27,NC,6418.274398496259
28,ND,6572.58866471727
29,NE,6526.207897536043
30,NH,8823.084374955477
31,NJ,6631.199236483993
32,NM,5046.567227432464
33,NV,6957.930047286547
34,NY,5008.190462784811
35,OH,6320.702186136421
36,OK,8059.9305332965005
37,OR,6601.101770837936
38,PA,6693.592322176393
39,RI,6252.732210718964
40,SC,6742.637921612213
41,SD,7365.728403328833
42,TN,7320.13304054992
43,TX,7286.78860881404
44,UT,7060.435297660492
45,VA,6517.202875186047
46,VT,7133.39543280025
47,WA,7312.5956731002325
48,WI,6985.623647329817
49,WV,6391.175516611405
50,WY,8472.356486151175
