"","edu","m1","m2","res"
"1",1,3,3,0.742766783116526
"2",1,3,0,0.283116481273977
"3",1,3,1,0.0983424982728895
"4",1,3,11,0.0549402925144203
"5",1,3,17,0.0582290345123112
"6",1,3,19,0.0550869766119039
"7",1,3,4,0.0600433313380801
"8",1,3,2,0.0538976185336905
"9",1,3,18,0.0525318004649478
"10",1,3,15,0.0523831914947568
"11",1,3,5,0.0553586710515202
"12",1,3,10,0.0521700047625686
"13",1,1,3,0.156154986595139
"14",1,1,0,0.243215435571178
"15",1,1,1,0.569523840963886
"16",1,1,11,0.0791066681246116
"17",1,1,17,0.0795367243132392
"18",1,1,4,0.0870298376551385
"19",1,1,6,0.0570365009790967
"20",1,1,2,0.0656909095601199
"21",1,1,5,0.0591751565087795
"22",1,1,13,0.0566776956911303
"23",1,1,10,0.0539539127676715
"24",1,1,12,0.0521055800852036
"25",1,11,3,0.0872765866658555
"26",1,11,0,0.331339782212606
"27",1,11,1,0.300177637831832
"28",1,11,11,0.364046733316752
"29",1,11,17,0.0901510499101111
"30",1,11,13,0.0524441355717691
"31",1,11,14,0.0525062385766288
"32",1,17,3,0.146896157098224
"33",1,17,0,0.394322429332147
"34",1,17,1,0.189678919412569
"35",1,17,17,0.302874892075166
"36",1,17,19,0.109996096819625
"37",1,17,5,0.05562093647047
"38",1,17,97,0.0538757417486237
"39",1,19,19,0.220074795008452
"40",1,19,4,0.103602565419358
"41",1,19,13,0.115358080473147
"42",1,4,3,0.0690016402007504
"43",1,4,0,0.27377672057994
"44",1,4,1,0.0921325414644754
"45",1,4,4,0.75048998214106
"46",1,4,2,0.0544686502268978
"47",1,4,10,0.052325710192386
"48",1,6,3,0.0684584008411286
"49",1,6,0,0.282411376549864
"50",1,6,1,0.0795277729483313
"51",1,6,6,0.755749629587326
"52",1,2,0,0.26599425191303
"53",1,2,1,0.209481849999198
"54",1,2,2,0.521344958351319
"55",1,2,5,0.0535769421264574
"56",1,16,0,0.322598332303141
"57",1,16,1,0.371335880832985
"58",1,16,16,0.319792604773408
"59",1,18,0,0.259613297264041
"60",1,15,17,0.124365512075753
"61",1,5,3,0.0878414600634502
"62",1,5,0,0.280643546593204
"63",1,5,1,0.105794797507853
"64",1,5,2,0.0527032149556728
"65",1,5,5,0.697910228498517
"66",1,13,0,0.276600020471718
"67",1,13,4,0.115934136683194
"68",1,13,18,0.052704688719561
"69",1,13,13,0.301384171405595
"70",1,10,3,0.1807240556974
"71",1,10,0,0.251078632138435
"72",1,10,1,0.276296272563523
"73",1,10,17,0.0612676006005807
"74",1,10,4,0.113479221724139
"75",1,10,10,0.410553999171227
"76",1,12,0,0.436670243459958
"77",1,12,1,0.0913229731654006
"78",1,12,12,0.501648313324752
"79",1,97,3,0.264163942623811
"80",1,97,0,0.391720541741935
"81",1,97,1,0.133030124120986
"82",1,97,17,0.0624388910719972
"83",1,97,97,0.371473144389984
"84",1,7,0,0.400524751631605
"85",1,7,7,0.533465936646144
"86",1,14,0,0.207420533198956
"87",1,14,1,0.0690572115673684
"88",1,14,14,0.19738458118542
"89",2,3,3,0.707843229840676
"90",2,3,0,0.248192927998126
"91",2,3,1,0.063418944997039
"92",2,3,11,0.0200167392385698
"93",2,3,17,0.0233054812364607
"94",2,3,19,0.0201634233360534
"95",2,3,4,0.0251197780622296
"96",2,3,6,0.0185106319906805
"97",2,3,2,0.01897406525784
"98",2,3,16,0.0190041819253265
"99",2,3,18,0.0176082471890973
"100",2,3,5,0.0204351177756696
"101",2,3,13,0.017248775117845
"102",2,3,10,0.0172464514867181
"103",2,3,20,0.0172389725964326
"104",2,3,7,0.0171579099054173
"105",2,1,3,0.121231433319289
"106",2,1,0,0.208291882295328
"107",2,1,1,0.534600287688036
"108",2,1,11,0.0441831148487611
"109",2,1,17,0.0446131710373887
"110",2,1,4,0.0521062843792879
"111",2,1,6,0.0221129477032462
"112",2,1,2,0.0307673562842694
"113",2,1,16,0.0680196222012458
"114",2,1,18,0.0199088060179269
"115",2,1,15,0.0238951207309923
"116",2,1,5,0.024251603232929
"117",2,1,8,0.0175398777126964
"118",2,1,13,0.0217541424152797
"119",2,1,14,0.017099962613002
"120",2,11,3,0.052353033390005
"121",2,11,0,0.296416228936755
"122",2,11,1,0.265254084555981
"123",2,11,11,0.329123180040902
"124",2,11,17,0.0552274966342606
"125",2,11,6,0.0182844853339734
"126",2,11,2,0.0283674761682096
"127",2,11,16,0.0511545684552119
"128",2,11,15,0.0196140250727316
"129",2,11,5,0.019100698517248
"130",2,11,97,0.0279061651731058
"131",2,11,14,0.0175826853007783
"132",2,17,3,0.111972603822373
"133",2,17,0,0.359398876056297
"134",2,17,1,0.154755366136719
"135",2,17,11,0.040142189246901
"136",2,17,17,0.267951338799315
"137",2,17,19,0.0750725435437746
"138",2,17,4,0.0362976270543823
"139",2,17,6,0.0194934640778595
"140",2,17,2,0.0273633826636948
"141",2,17,5,0.0206973831946195
"142",2,19,3,0.202938542742929
"143",2,19,0,0.146729174051951
"144",2,19,17,0.255787461723965
"145",2,19,19,0.185151241732602
"146",2,19,4,0.0686790121435071
"147",2,19,6,0.0254231896335081
"148",2,19,5,0.0426093804425854
"149",2,19,13,0.0804345271972967
"150",2,4,3,0.0340780869248999
"151",2,4,0,0.23885316730409
"152",2,4,1,0.0572089881886249
"153",2,4,17,0.0236436701188945
"154",2,4,19,0.0181692701299557
"155",2,4,4,0.715566428865209
"156",2,4,6,0.0200757352279543
"157",2,4,2,0.0195450969510472
"158",2,4,8,0.0175091642259769
"159",2,4,97,0.0171592925898053
"160",2,6,3,0.0335348475652781
"161",2,6,0,0.247487823274014
"162",2,6,1,0.0446042196724808
"163",2,6,11,0.0179001079601484
"164",2,6,17,0.0189015123530347
"165",2,6,19,0.0189382329643754
"166",2,6,4,0.0278751422390303
"167",2,6,6,0.720826076311475
"168",2,6,2,0.0182654221433763
"169",2,6,15,0.0171299528902713
"170",2,6,5,0.0184120837651578
"171",2,6,8,0.0194551614741724
"172",2,6,97,0.0172470737439901
"173",2,2,3,0.0804943709587121
"174",2,2,0,0.231070698637179
"175",2,2,1,0.174558296723347
"176",2,2,11,0.0336905547372365
"177",2,2,17,0.0337681203842649
"178",2,2,2,0.486421405075468
"179",2,16,3,0.0586306090039476
"180",2,16,0,0.287674779027291
"181",2,16,1,0.336412327557135
"182",2,16,11,0.0508533690746629
"183",2,16,17,0.05528875690849
"184",2,16,19,0.0208546106325112
"185",2,16,2,0.0225876001860944
"186",2,16,16,0.284869051497557
"187",2,16,14,0.0179581789735444
"188",2,18,0,0.224689743988191
"189",2,18,19,0.0376903599943189
"190",2,18,18,0.667279713559126
"191",2,18,13,0.038944733856249
"192",2,15,3,0.0959995063666692
"193",2,15,0,0.299556065782333
"194",2,15,1,0.224325446941563
"195",2,15,11,0.0324350247676135
"196",2,15,16,0.0757613587643594
"197",2,15,15,0.231197507532433
"198",2,15,97,0.0199164451035481
"199",2,5,3,0.0529179067875997
"200",2,5,0,0.245719993317354
"201",2,5,11,0.0207529012584734
"202",2,5,17,0.0324881633761566
"203",2,5,4,0.0194263577106235
"204",2,5,2,0.0177796616798223
"205",2,5,16,0.0191025164502971
"206",2,5,5,0.662986675222666
"207",2,8,3,0.0565194627872041
"208",2,8,0,0.276842366339634
"209",2,8,1,0.0735269813139687
"210",2,8,8,0.536385214011749
"211",2,13,3,0.0748485001393468
"212",2,13,0,0.241676467195867
"213",2,13,1,0.248891563831313
"214",2,13,19,0.126502005506568
"215",2,13,13,0.266460618129745
"216",2,10,3,0.14580050242155
