binLeft,binRight,value
0.0,590.8718082803858,10825201.090428084
590.8718082803858,1181.7436165607717,1590767.5505076824
1181.7436165607717,1772.6154248411576,2960632.1109621376
1772.6154248411576,2363.4872331215433,4258500.100441685
2363.4872331215433,2954.359041401929,4357315.977495236
2954.359041401929,3545.2308496823152,4795353.150238248
3545.2308496823152,4136.1026579627005,5088597.267352368
4136.1026579627005,4726.974466243087,5636580.256280201
4726.974466243087,5317.846274523473,5490987.349132888
5317.846274523473,5908.718082803858,5503312.988524342
5908.718082803858,6499.589891084244,5094460.063726432
6499.589891084244,7090.4616993646305,4480848.354677368
7090.4616993646305,7681.333507645016,4903734.670463048
7681.333507645016,8272.205315925401,4281463.694299056
8272.205315925401,8863.077124205787,3921957.1193442186
8863.077124205787,9453.948932486173,3722491.180952702
9453.948932486173,10044.82074076656,3740137.9061930124
10044.82074076656,10635.692549046946,3489725.8970809504
10635.692549046946,11226.56435732733,3223690.1365867807
11226.56435732733,11817.436165607716,2968679.666191512
11817.436165607716,12408.307973888102,2572234.3698702194
12408.307973888102,12999.179782168489,2448934.527738546
12999.179782168489,13590.051590448875,2205248.908712618
13590.051590448875,14180.923398729261,2060617.9182519075
14180.923398729261,14771.795207009645,1690161.2328244906
14771.795207009645,15362.667015290031,1620158.4235423263
15362.667015290031,15953.538823570418,1406380.4321773713
15953.538823570418,16544.410631850802,1156482.767137776
16544.410631850802,17135.28244013119,1055711.0143730245
17135.28244013119,17726.154248411574,919521.4976067863
17726.154248411574,18317.02605669196,791515.9992118923
18317.02605669196,18907.897864972347,744476.0910167205
18907.897864972347,19498.769673252733,627663.0011816362
19498.769673252733,20089.64148153312,547775.2780514226
20089.64148153312,20680.513289813505,462001.9148193608
20680.513289813505,21271.38509809389,504363.7228357801
21271.38509809389,21862.256906374278,343352.62721386977
21862.256906374278,22453.12871465466,383133.9063522366
22453.12871465466,23044.000522935046,320175.71297075035
23044.000522935046,23634.872331215432,268743.28806399484
23634.872331215432,24225.74413949582,312486.116236584
24225.74413949582,24816.615947776205,163132.9346541885
24816.615947776205,25407.48775605659,194574.27035718632
25407.48775605659,25998.359564336977,172240.74202975622
25998.359564336977,26589.231372617363,116987.50936409245
26589.231372617363,27180.10318089775,114502.87941364688
27180.10318089775,27770.974989178136,116517.55386516498
27770.974989178136,28361.846797458522,90894.51134566774
28361.846797458522,28952.718605738904,93078.05668903791
28952.718605738904,29543.59041401929,52127.61726936139
29543.59041401929,30134.462222299677,53844.68628522782
30134.462222299677,30725.334030580063,95649.43747122581
30725.334030580063,31316.20583886045,50568.75949533738
31316.20583886045,31907.077647140835,70592.21586041492
31907.077647140835,32497.94945542122,32659.69981732984
32497.94945542122,33088.821263701604,40335.85697407453
33088.821263701604,33679.693071981994,38478.88112233718
33679.693071981994,34270.56488026238,47331.09933756975
34270.56488026238,34861.436688542766,67603.50155693448
34861.436688542766,35452.30849682315,34531.821138553205
35452.30849682315,36043.18030510354,38999.92976733756
36043.18030510354,36634.05211338392,20440.450050562577
36634.05211338392,37224.92392166431,24772.52586497611
37224.92392166431,37815.79572994469,32738.660038162554
37815.79572994469,38406.667538225076,18159.003197750313
38406.667538225076,38997.539346505466,20023.283209702768
38997.539346505466,39588.41115478585,20138.63380235659
39588.41115478585,40179.28296306624,14573.269871633605
40179.28296306624,40770.15477134662,22850.728394799367
40770.15477134662,41361.02657962701,4093.32962426812
41361.02657962701,41951.89838790739,16490.4121386718
41951.89838790739,42542.77019618778,30441.275589481076
42542.77019618778,43133.642004468165,3521.1883918903077
43133.642004468165,43724.513812748555,5239.424428112992
43724.513812748555,44315.38562102894,6066.934969860844
44315.38562102894,44906.25742930932,5823.068011055873
44906.25742930932,45497.12923758971,3988.641722971665
45497.12923758971,46088.00104587009,6643.674519670598
46088.00104587009,46678.87285415048,14562.693341302122
46678.87285415048,47269.744662430865,9492.228831029228
47269.744662430865,47860.616470711255,2435.742394767378
47860.616470711255,48451.48827899164,8449.215493102933
48451.48827899164,49042.36008727203,2571.2131179559706
49042.36008727203,49633.23189555241,4657.145305190163
49633.23189555241,50224.1037038328,6752.836655166126
50224.1037038328,50814.97551211318,14223.987017365875
50814.97551211318,51405.847320393565,12570.638095567985
51405.847320393565,51996.719128673954,7528.366978458188
51996.719128673954,52587.59093695434,18640.246575891582
52587.59093695434,53178.46274523473,22951.88591161115
53178.46274523473,53769.33455351511,712.3297308837759
53769.33455351511,54360.2063617955,5992.081935580553
54360.2063617955,54951.07817007588,817.5140817558461
54951.07817007588,55541.94997835627,6223.3926586089865
55541.94997835627,56132.821786636654,1214.060326370083
56132.821786636654,56723.693594917044,888.0563558468386
56723.693594917044,57314.565403197426,860.8304660915969
57314.565403197426,57905.43721147781,1726.200986989876
57905.43721147781,58496.3090197582,4931.45300850952
58496.3090197582,59087.18082803858,3807.071353410466
59087.18082803858,59678.05263631897,1644.6475969387163
59678.05263631897,60268.92444459935,0.0
60268.92444459935,60859.79625287974,773.7260077510209
60859.79625287974,61450.668061160126,454.373701335919
61450.668061160126,62041.539869440516,0.0
62041.539869440516,62632.4116777209,0.0
62632.4116777209,63223.28348600128,0.0
63223.28348600128,63814.15529428167,4958.4193817347095
63814.15529428167,64405.02710256205,620.428043392585
64405.02710256205,64995.89891084244,663.7846726625985
64995.89891084244,65586.77071912283,225.336391495703
65586.77071912283,66177.64252740321,67.0128382669829
66177.64252740321,66768.5143356836,109.20072243585501
66768.5143356836,67359.38614396399,379.9933423757557
67359.38614396399,67950.25795224437,0.0
67950.25795224437,68541.12976052475,0.0
68541.12976052475,69132.00156880515,186.325731681903
69132.00156880515,69722.87337708553,0.0
69722.87337708553,70313.74518536591,400.07633683689903
70313.74518536591,70904.6169936463,2294.527860494591
70904.6169936463,71495.48880192668,0.0
71495.48880192668,72086.36061020708,0.0
72086.36061020708,72677.23241848746,0.0
72677.23241848746,73268.10422676784,0.0
73268.10422676784,73858.97603504822,3242.257086260798
